category,total_sales,sales_contribution
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances,2599.00,0.056764
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,2551.00,0.055716
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|AutomobileChargers,2479.00,0.054143
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges",2450.00,0.053510
"Electronics|Headphones,Earbuds&Accessories|Headphones|Over-Ear",2448.00,0.053466
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,2379.00,0.051959
Car&Motorbike|CarAccessories|InteriorAccessories|AirPurifiers&Ionizers,2339.00,0.051086
Electronics|HomeAudio|Speakers|TowerSpeakers,2299.00,0.050212
Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,2292.00,0.050059
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,2164.00,0.047264
Computers&Accessories|NetworkingDevices|DataCards&Dongles,2099.00,0.045844
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|RotiMakers,1999.00,0.043660
"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",1991.00,0.043485
"Electronics|HomeTheater,TV&Video|AVReceivers&Amplifiers",1990.00,0.043463
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans",1983.00,0.043310
Electronics|GeneralPurposeBatteries&BatteryChargers,1957.00,0.042742
OfficeProducts|OfficeElectronics|Calculators|Scientific,1817.00,0.039685
Computers&Accessories|Components|Memory,1792.00,0.039139
Electronics|Mobiles&Accessories|MobileAccessories|Stands,1790.00,0.039095
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,1699.00,0.037108
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|CoolingPads,1598.00,0.034902
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",1590.00,0.034727
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|MilkFrothers",1557.00,0.034006
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|CompleteTripodUnits,1549.00,0.033831
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,1498.00,0.032718
Electronics|Mobiles&Accessories|MobileAccessories|AutomobileAccessories|Cradles,1437.00,0.031385
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,1399.00,0.030555
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",1399.00,0.030555
Electronics|PowerAccessories|SurgeProtectors,1289.00,0.028153
MusicalInstruments|Microphones|Condenser,1276.00,0.027869
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|NotebookComputerStands,1247.00,0.027236
Computers&Accessories|NetworkingDevices,1199.00,0.026187
Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters,1199.00,0.026187
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCMicrophones,1148.00,0.025073
Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,1128.00,0.024636
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods,1125.00,0.024571
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",1099.00,0.024003
"Computers&Accessories|Accessories&Peripherals|TabletAccessories|Bags,Cases&Sleeves|Cases",1098.00,0.023981
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales|DigitalScales,1038.00,0.022671
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",928.00,0.020268
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,899.00,0.019635
Computers&Accessories|Accessories&Peripherals|HardDiskBags,895.00,0.019548
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,799.00,0.017451
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Bedstand&DeskMounts,750.00,0.016381
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,748.00,0.016337
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",733.00,0.016009
Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,701.00,0.015310
Electronics|Cameras&Photography|Accessories|PhotoStudio&Lighting|PhotoBackgroundAccessories|BackgroundSupports,699.00,0.015267
"Home&Kitchen|Heating,Cooling&AirQuality|Parts&Accessories|FanParts&Accessories",699.00,0.015267
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|HandlebarMounts,689.00,0.015048
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories,688.00,0.015026
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",658.00,0.014371
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,649.00,0.014175
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SmallApplianceParts&Accessories|StandMixerAccessories,635.00,0.013869
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeeMakerAccessories|MeasuringSpoons",612.00,0.013367
Computers&Accessories|NetworkingDevices|NetworkAdapters|BluetoothAdapters,599.00,0.013083
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|StovetopEspressoPots",599.00,0.013083
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges",598.00,0.013061
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|YogurtMakers,587.00,0.012821
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",565.00,0.012340
Electronics|Cameras&Photography|Accessories|Film,549.00,0.011991
Computers&Accessories|ExternalDevices&DataStorage|ExternalMemoryCardReaders,549.00,0.011991
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",549.00,0.011991
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Tripods,539.00,0.011772
